id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;1792;61.6562688;61.6562688;61.6562688
3;Convolutional;36928;1315.333734;1315.333734;1315.333734
4;mpool;;;;
5;Convolutional;73856;657.6668672;657.6668672;657.6668672
6;Convolutional;147584;1315.333734;1315.333734;1315.333734
7;mpool;;;;
8;Convolutional;295168;657.6668672;657.6668672;657.6668672
9;Convolutional;590080;1315.333734;1315.333734;1315.333734
10;Convolutional;590080;1315.333734;1315.333734;1315.333734
11;mpool;;;;
12;Convolutional;1180160;657.6668672;657.6668672;657.6668672
13;Convolutional;2359808;1315.333734;1315.333734;1315.333734
14;Convolutional;2359808;1315.333734;1315.333734;1315.333734
15;mpool;;;;
16;Convolutional;2359808;328.8334336;328.8334336;328.8334336
17;Convolutional;2359808;328.8334336;328.8334336;328.8334336
18;Convolutional;2359808;328.8334336;328.8334336;328.8334336
19;mpool;;;;
20;FC;29184;0.017840356;7.11111E-07;0.017840356
21;FC;4097;7.11111E-07;7.11111E-07;7.11111E-07
22;FC;1002;7.11111E-07;0;7.11111E-07
