id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;23296;71.9634432;1193.665363968;1120.226967552
3;mpool;;;;
4;Convolutional;307392;229.3235712;229.3235712;229.3235712
5;mpool;;;;
6;Convolutional;663936;114.831654912;114.831654912;114.831654912
7;Convolutional;1327488;229.663309824;229.663309824;229.663309824
8;Convolutional;884992;153.108873216;153.108873216;153.108873216
9;mpool;;;;
10;FC;37752832;38.654705664;17.179869184;38.654705664
11;FC;16781312;17.179869184;4.198498304;17.179869184
12;FC;4101097;4.198498304;0;4.198498304
