id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;896;0.693633024;2.774532096;2.749814784
3;Convolutional;;;;
4;Convolutional;18496;14.797504512;14.797504512;14.797504512
5;mpool;;;;
6;Convolutional;5200;1.02760448;1.02760448;1.02760448
7;Convolutional;138432;27.74532096;27.74532096;27.74532096
8;mpool;;;;
9;Convolutional;12352;0.616562688;0.616562688;0.616562688
10;Convolutional;3120;0.154140672;0.154140672;0.154140672
11;Convolutional;76864;3.8535168;3.8535168;3.8535168
12;Convolutional;4160;0.205520896;0.205520896;0.205520896
13;Convolutional;55392;2.774532096;2.774532096;2.774532096
14;Convolutional;83040;4.161798144;4.161798144;4.161798144
15;apool;;;;
16;Convolutional;3104;0.154140672;0.154140672;0.154140672
17;Convolutional;2112;0.102760448;0.102760448;0.102760448
18;Convolutional;3120;0.154140672;0.154140672;0.154140672
19;Convolutional;76864;3.8535168;3.8535168;3.8535168
20;Convolutional;4160;0.205520896;0.205520896;0.205520896
21;Convolutional;55392;2.774532096;2.774532096;2.774532096
22;Convolutional;83040;4.161798144;4.161798144;4.161798144
23;apool;;;;
24;Convolutional;6208;0.308281344;0.308281344;0.308281344
25;Convolutional;4160;0.205520896;0.205520896;0.205520896
26;Convolutional;3120;0.154140672;0.154140672;0.154140672
27;Convolutional;76864;3.8535168;3.8535168;3.8535168
28;Convolutional;4160;0.205520896;0.205520896;0.205520896
29;Convolutional;55392;2.774532096;2.774532096;2.774532096
30;Convolutional;83040;4.161798144;4.161798144;4.161798144
31;apool;;;;
32;Convolutional;6208;0.308281344;0.308281344;0.308281344
33;Convolutional;221568;2.774532096;11.098128384;10.319560704
34;Convolutional;24640;0.308281344;0.308281344;0.308281344
35;Convolutional;55392;0.693633024;0.693633024;0.693633024
36;Convolutional;83040;0.260112384;1.040449536;0.897122304
37;mpool;;;;
38;Convolutional;18624;0.010616832;0.010616832;0.010616832
39;Convolutional;24704;0.014155776;0.014155776;0.014155776
40;Convolutional;114816;0.066060288;0.066060288;0.066060288
41;Convolutional;172224;0.099090432;0.099090432;0.099090432
42;Convolutional;24704;0.014155776;0.014155776;0.014155776
43;Convolutional;114816;0.066060288;0.066060288;0.066060288
44;Convolutional;114816;0.066060288;0.066060288;0.066060288
45;Convolutional;114816;0.066060288;0.066060288;0.066060288
46;Convolutional;172224;0.099090432;0.099090432;0.099090432
47;apool;;;;
48;Convolutional;37056;0.021233664;0.021233664;0.021233664
49;Convolutional;37056;0.021233664;0.021233664;0.021233664
50;Convolutional;30880;0.01769472;0.01769472;0.01769472
51;Convolutional;179360;0.1032192;0.1032192;0.1032192
52;Convolutional;215232;0.12386304;0.12386304;0.12386304
53;Convolutional;30880;0.01769472;0.01769472;0.01769472
54;Convolutional;179360;0.1032192;0.1032192;0.1032192
55;Convolutional;179360;0.1032192;0.1032192;0.1032192
56;Convolutional;179360;0.1032192;0.1032192;0.1032192
57;Convolutional;215232;0.12386304;0.12386304;0.12386304
58;apool;;;;
59;Convolutional;37056;0.021233664;0.021233664;0.021233664
60;Convolutional;37056;0.021233664;0.021233664;0.021233664
61;Convolutional;30880;0.01769472;0.01769472;0.01769472
62;Convolutional;179360;0.1032192;0.1032192;0.1032192
63;Convolutional;215232;0.12386304;0.12386304;0.12386304
64;Convolutional;30880;0.01769472;0.01769472;0.01769472
65;Convolutional;179360;0.1032192;0.1032192;0.1032192
66;Convolutional;179360;0.1032192;0.1032192;0.1032192
67;Convolutional;179360;0.1032192;0.1032192;0.1032192
68;Convolutional;215232;0.12386304;0.12386304;0.12386304
69;apool;;;;
70;Convolutional;37056;0.021233664;0.021233664;0.021233664
71;Convolutional;37056;0.021233664;0.021233664;0.021233664
72;Convolutional;37056;0.021233664;0.021233664;0.021233664
