id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;9472;15.105785856;30.211571712;60.019126272
3;mpool;;;;
4;Convolutional;16640;6.576668672;13.153337344;6.576668672
5;Convolutional;16448;6.576668672;6.576668672;6.576668672
6;Convolutional;36928;14.797504512;14.797504512;14.797504512
7;Convolutional;16640;6.576668672;6.576668672;6.576668672
8;Convolutional;16448;6.576668672;6.576668672;6.576668672
9;Convolutional;36928;14.797504512;14.797504512;14.797504512
10;Convolutional;16640;6.576668672;6.576668672;6.576668672
11;Convolutional;16448;6.576668672;6.576668672;6.576668672
12;Convolutional;36928;14.797504512;14.797504512;14.797504512
13;Convolutional;16640;6.576668672;6.576668672;6.576668672
14;Convolutional;131584;13.153337344;52.613349376;51.21245184
15;Convolutional;65664;6.576668672;6.576668672;25.60622592
16;Convolutional;147584;14.797504512;14.797504512;14.797504512
17;Convolutional;66048;6.576668672;6.576668672;6.576668672
18;Convolutional;65664;6.576668672;6.576668672;6.576668672
19;Convolutional;147584;14.797504512;14.797504512;14.797504512
20;Convolutional;66048;6.576668672;6.576668672;6.576668672
21;Convolutional;65664;6.576668672;6.576668672;6.576668672
22;Convolutional;147584;14.797504512;14.797504512;14.797504512
23;Convolutional;66048;6.576668672;6.576668672;6.576668672
24;Convolutional;65664;6.576668672;6.576668672;6.576668672
25;Convolutional;147584;14.797504512;14.797504512;14.797504512
26;Convolutional;66048;6.576668672;6.576668672;6.576668672
27;Convolutional;525312;13.153337344;52.613349376;49.82833152
28;Convolutional;262400;6.576668672;6.576668672;24.91416576
29;Convolutional;590080;14.797504512;14.797504512;14.797504512
30;Convolutional;263168;6.576668672;6.576668672;6.576668672
31;Convolutional;262400;6.576668672;6.576668672;6.576668672
32;Convolutional;590080;14.797504512;14.797504512;14.797504512
33;Convolutional;263168;6.576668672;6.576668672;6.576668672
34;Convolutional;262400;6.576668672;6.576668672;6.576668672
35;Convolutional;590080;14.797504512;14.797504512;14.797504512
36;Convolutional;263168;6.576668672;6.576668672;6.576668672
37;Convolutional;262400;6.576668672;6.576668672;6.576668672
38;Convolutional;590080;14.797504512;14.797504512;14.797504512
39;Convolutional;263168;6.576668672;6.576668672;6.576668672
40;Convolutional;262400;6.576668672;6.576668672;6.576668672
41;Convolutional;590080;14.797504512;14.797504512;14.797504512
42;Convolutional;263168;6.576668672;6.576668672;6.576668672
43;Convolutional;262400;6.576668672;6.576668672;6.576668672
44;Convolutional;590080;14.797504512;14.797504512;14.797504512
45;Convolutional;263168;6.576668672;6.576668672;6.576668672
46;Convolutional;2099200;13.153337344;52.613349376;47.110422528
47;Convolutional;1049088;6.576668672;6.576668672;23.555211264
48;Convolutional;2359808;14.797504512;14.797504512;14.797504512
49;Convolutional;1050624;6.576668672;6.576668672;6.576668672
50;Convolutional;1049088;6.576668672;6.576668672;6.576668672
51;Convolutional;2359808;14.797504512;14.797504512;14.797504512
52;Convolutional;1050624;6.576668672;6.576668672;6.576668672
53;Convolutional;1049088;6.576668672;6.576668672;6.576668672
54;Convolutional;2359808;14.797504512;14.797504512;14.797504512
55;Convolutional;1050624;6.576668672;6.576668672;6.576668672
56;FC;200905705;12.857901056;0;12.857901056
