id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;1792;5.549064192;5.549064192;5.549064192
3;Convolutional;36928;118.380036096;118.380036096;118.380036096
4;mpool;;;;
5;Convolutional;73856;59.190018048;59.190018048;59.190018048
6;Convolutional;147584;118.380036096;118.380036096;118.380036096
7;mpool;;;;
8;Convolutional;295168;59.190018048;59.190018048;59.190018048
9;Convolutional;590080;118.380036096;118.380036096;118.380036096
10;Convolutional;590080;118.380036096;118.380036096;118.380036096
11;mpool;;;;
12;Convolutional;1180160;59.190018048;59.190018048;59.190018048
13;Convolutional;2359808;118.380036096;118.380036096;118.380036096
14;Convolutional;2359808;118.380036096;118.380036096;118.380036096
15;mpool;;;;
16;Convolutional;2359808;29.595009024;29.595009024;29.595009024
17;Convolutional;2359808;29.595009024;29.595009024;29.595009024
18;Convolutional;2359808;29.595009024;29.595009024;29.595009024
19;mpool;;;;
20;FC;102764544;6.576668672;1.073741824;6.576668672
21;FC;16781312;1.073741824;0.262406144;1.073741824
22;FC;4101097;0.262406144;0;0.262406144
