id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;23296;2007.90857142857;33305.3952;31256.3328
3;mpool;;;;
4;Convolutional;307392;6398.53714285714;6398.53714285714;6398.53714285714
5;mpool;;;;
6;Convolutional;663936;3204.00822857143;3204.00822857143;3204.00822857143
7;Convolutional;1327488;6408.01645714286;6408.01645714286;6408.01645714286
8;Convolutional;884992;4272.01097142857;4272.01097142857;4272.01097142857
9;mpool;;;;
10;FC;37752832;1078.53531428571;479.349028571429;1078.53531428571
11;FC;16781312;479.349028571429;117.1456;479.349028571429
12;FC;4101097;117.1456;0;117.1456
