id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;9472;6743.6544;13487.3088;26794.2528
3;mpool;;;;
4;Convolutional;16640;2936.0128;5872.0256;2936.0128
5;Convolutional;16448;2936.0128;2936.0128;2936.0128
6;Convolutional;36928;6606.0288;6606.0288;6606.0288
7;Convolutional;16640;2936.0128;2936.0128;2936.0128
8;Convolutional;16448;2936.0128;2936.0128;2936.0128
9;Convolutional;36928;6606.0288;6606.0288;6606.0288
10;Convolutional;16640;2936.0128;2936.0128;2936.0128
11;Convolutional;16448;2936.0128;2936.0128;2936.0128
12;Convolutional;36928;6606.0288;6606.0288;6606.0288
13;Convolutional;16640;2936.0128;2936.0128;2936.0128
14;Convolutional;131584;5872.0256;23488.1024;22862.7017142857
15;Convolutional;65664;2936.0128;2936.0128;11431.3508571429
16;Convolutional;147584;6606.0288;6606.0288;6606.0288
17;Convolutional;66048;2936.0128;2936.0128;2936.0128
18;Convolutional;65664;2936.0128;2936.0128;2936.0128
19;Convolutional;147584;6606.0288;6606.0288;6606.0288
20;Convolutional;66048;2936.0128;2936.0128;2936.0128
21;Convolutional;65664;2936.0128;2936.0128;2936.0128
22;Convolutional;147584;6606.0288;6606.0288;6606.0288
23;Convolutional;66048;2936.0128;2936.0128;2936.0128
24;Convolutional;65664;2936.0128;2936.0128;2936.0128
25;Convolutional;147584;6606.0288;6606.0288;6606.0288
26;Convolutional;66048;2936.0128;2936.0128;2936.0128
27;Convolutional;525312;5872.0256;23488.1024;22244.7908571429
28;Convolutional;262400;2936.0128;2936.0128;11122.3954285714
29;Convolutional;590080;6606.0288;6606.0288;6606.0288
30;Convolutional;263168;2936.0128;2936.0128;2936.0128
31;Convolutional;262400;2936.0128;2936.0128;2936.0128
32;Convolutional;590080;6606.0288;6606.0288;6606.0288
33;Convolutional;263168;2936.0128;2936.0128;2936.0128
34;Convolutional;262400;2936.0128;2936.0128;2936.0128
35;Convolutional;590080;6606.0288;6606.0288;6606.0288
36;Convolutional;263168;2936.0128;2936.0128;2936.0128
37;Convolutional;262400;2936.0128;2936.0128;2936.0128
38;Convolutional;590080;6606.0288;6606.0288;6606.0288
39;Convolutional;263168;2936.0128;2936.0128;2936.0128
40;Convolutional;262400;2936.0128;2936.0128;2936.0128
41;Convolutional;590080;6606.0288;6606.0288;6606.0288
42;Convolutional;263168;2936.0128;2936.0128;2936.0128
43;Convolutional;262400;2936.0128;2936.0128;2936.0128
44;Convolutional;590080;6606.0288;6606.0288;6606.0288
45;Convolutional;263168;2936.0128;2936.0128;2936.0128
46;Convolutional;2099200;5872.0256;23488.1024;21031.4386285714
47;Convolutional;1049088;2936.0128;2936.0128;10515.7193142857
48;Convolutional;2359808;6606.0288;6606.0288;6606.0288
49;Convolutional;1050624;2936.0128;2936.0128;2936.0128
50;Convolutional;1049088;2936.0128;2936.0128;2936.0128
51;Convolutional;2359808;6606.0288;6606.0288;6606.0288
52;Convolutional;1050624;2936.0128;2936.0128;2936.0128
53;Convolutional;1049088;2936.0128;2936.0128;2936.0128
54;Convolutional;2359808;6606.0288;6606.0288;6606.0288
55;Convolutional;1050624;2936.0128;2936.0128;2936.0128
56;FC;200905705;5740.1344;0;5740.1344
