id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;1792;2477.2608;2477.2608;2477.2608
3;Convolutional;36928;52848.2304;52848.2304;52848.2304
4;mpool;;;;
5;Convolutional;73856;26424.1152;26424.1152;26424.1152
6;Convolutional;147584;52848.2304;52848.2304;52848.2304
7;mpool;;;;
8;Convolutional;295168;26424.1152;26424.1152;26424.1152
9;Convolutional;590080;52848.2304;52848.2304;52848.2304
10;Convolutional;590080;52848.2304;52848.2304;52848.2304
11;mpool;;;;
12;Convolutional;1180160;26424.1152;26424.1152;26424.1152
13;Convolutional;2359808;52848.2304;52848.2304;52848.2304
14;Convolutional;2359808;52848.2304;52848.2304;52848.2304
15;mpool;;;;
16;Convolutional;2359808;13212.0576;13212.0576;13212.0576
17;Convolutional;2359808;13212.0576;13212.0576;13212.0576
18;Convolutional;2359808;13212.0576;13212.0576;13212.0576
19;mpool;;;;
20;FC;102764544;2936.0128;479.349028571429;2936.0128
21;FC;16781312;479.349028571429;117.1456;479.349028571429
22;FC;4101097;117.1456;0;117.1456
