id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;896;7.7070336;30.8281344;30.5534976
3;Convolutional;;;;
4;Convolutional;18496;164.4167168;164.4167168;164.4167168
5;mpool;;;;
6;Convolutional;5200;11.4178275555556;11.4178275555556;11.4178275555556
7;Convolutional;138432;308.281344;308.281344;308.281344
8;mpool;;;;
9;Convolutional;12352;6.85069653333333;6.85069653333333;6.85069653333333
10;Convolutional;3120;1.71267413333333;1.71267413333333;1.71267413333333
11;Convolutional;76864;42.8168533333333;42.8168533333333;42.8168533333333
12;Convolutional;4160;2.28356551111111;2.28356551111111;2.28356551111111
13;Convolutional;55392;30.8281344;30.8281344;30.8281344
14;Convolutional;83040;46.2422016;46.2422016;46.2422016
15;apool;;;;
16;Convolutional;3104;1.71267413333333;1.71267413333333;1.71267413333333
17;Convolutional;2112;1.14178275555556;1.14178275555556;1.14178275555556
18;Convolutional;3120;1.71267413333333;1.71267413333333;1.71267413333333
19;Convolutional;76864;42.8168533333333;42.8168533333333;42.8168533333333
20;Convolutional;4160;2.28356551111111;2.28356551111111;2.28356551111111
21;Convolutional;55392;30.8281344;30.8281344;30.8281344
22;Convolutional;83040;46.2422016;46.2422016;46.2422016
23;apool;;;;
24;Convolutional;6208;3.42534826666667;3.42534826666667;3.42534826666667
25;Convolutional;4160;2.28356551111111;2.28356551111111;2.28356551111111
26;Convolutional;3120;1.71267413333333;1.71267413333333;1.71267413333333
27;Convolutional;76864;42.8168533333333;42.8168533333333;42.8168533333333
28;Convolutional;4160;2.28356551111111;2.28356551111111;2.28356551111111
29;Convolutional;55392;30.8281344;30.8281344;30.8281344
30;Convolutional;83040;46.2422016;46.2422016;46.2422016
31;apool;;;;
32;Convolutional;6208;3.42534826666667;3.42534826666667;3.42534826666667
33;Convolutional;221568;30.8281344;123.3125376;114.6617856
34;Convolutional;24640;3.42534826666667;3.42534826666667;3.42534826666667
35;Convolutional;55392;7.7070336;7.7070336;7.7070336
36;Convolutional;83040;2.8901376;11.5605504;9.9680256
37;mpool;;;;
38;Convolutional;18624;0.1179648;0.1179648;0.1179648
39;Convolutional;24704;0.1572864;0.1572864;0.1572864
40;Convolutional;114816;0.7340032;0.7340032;0.7340032
41;Convolutional;172224;1.1010048;1.1010048;1.1010048
42;Convolutional;24704;0.1572864;0.1572864;0.1572864
43;Convolutional;114816;0.7340032;0.7340032;0.7340032
44;Convolutional;114816;0.7340032;0.7340032;0.7340032
45;Convolutional;114816;0.7340032;0.7340032;0.7340032
46;Convolutional;172224;1.1010048;1.1010048;1.1010048
47;apool;;;;
48;Convolutional;37056;0.2359296;0.2359296;0.2359296
49;Convolutional;37056;0.2359296;0.2359296;0.2359296
50;Convolutional;30880;0.196608;0.196608;0.196608
51;Convolutional;179360;1.14688;1.14688;1.14688
52;Convolutional;215232;1.376256;1.376256;1.376256
53;Convolutional;30880;0.196608;0.196608;0.196608
54;Convolutional;179360;1.14688;1.14688;1.14688
55;Convolutional;179360;1.14688;1.14688;1.14688
56;Convolutional;179360;1.14688;1.14688;1.14688
57;Convolutional;215232;1.376256;1.376256;1.376256
58;apool;;;;
59;Convolutional;37056;0.2359296;0.2359296;0.2359296
60;Convolutional;37056;0.2359296;0.2359296;0.2359296
61;Convolutional;30880;0.196608;0.196608;0.196608
62;Convolutional;179360;1.14688;1.14688;1.14688
63;Convolutional;215232;1.376256;1.376256;1.376256
64;Convolutional;30880;0.196608;0.196608;0.196608
65;Convolutional;179360;1.14688;1.14688;1.14688
66;Convolutional;179360;1.14688;1.14688;1.14688
67;Convolutional;179360;1.14688;1.14688;1.14688
68;Convolutional;215232;1.376256;1.376256;1.376256
69;apool;;;;
70;Convolutional;37056;0.2359296;0.2359296;0.2359296
71;Convolutional;37056;0.2359296;0.2359296;0.2359296
72;Convolutional;37056;0.2359296;0.2359296;0.2359296
73;Convolutional;258240;1.6515072;1.6515072;1.6515072
74;Convolutional;258240;1.6515072;1.6515072;1.6515072
75;Convolutional;37056;0.2359296;0.2359296;0.2359296
76;Convolutional;258240;1.6515072;1.6515072;1.6515072
77;Convolutional;258240;1.6515072;1.6515072;1.6515072
78;Convolutional;258240;1.6515072;1.6515072;1.6515072
79;Convolutional;258240;1.6515072;1.6515072;1.6515072
80;apool;;;;
81;Convolutional;37056;0.2359296;0.2359296;0.2359296
82;Convolutional;37056;0.2359296;0.2359296;0.2359296
83;Convolutional;553280;1.572864;3.538944;3.538944
84;Convolutional;61632;0.174762666666667;0.174762666666667;0.174762666666667
85;Convolutional;258240;0.7340032;0.7340032;0.7340032
86;Convolutional;258240;0.7340032;0.7340032;0.7340032
87;Convolutional;331968;0.2359296;0.9437184;0.2359296
88;mpool;;;;
89;Convolutional;61760;0.043690666666667;0.043690666666667;0.043690666666667
90;Convolutional;123264;0.087381333333333;0.087381333333333;0.087381333333333
91;Convolutional;442752;0.3145728;0.3145728;0.3145728
92;Convolutional;442752;0.3145728;0.3145728;0.3145728
93;Convolutional;172480;0.122333866666667;0.122333866666667;0.122333866666667
94;Convolutional;1548672;1.1010048;1.1010048;1.1010048
95;Convolutional;442752;0.3145728;0.3145728;0.3145728
96;Convolutional;442752;0.3145728;0.3145728;0.3145728
97;apool;;;;
98;Convolutional;73920;0.0524288;0.0524288;0.0524288
99;Convolutional;61760;0.043690666666667;0.043690666666667;0.043690666666667
100;Convolutional;123264;0.087381333333333;0.087381333333333;0.087381333333333
101;Convolutional;442752;0.3145728;0.3145728;0.3145728
102;Convolutional;442752;0.3145728;0.3145728;0.3145728
103;Convolutional;172480;0.122333866666667;0.122333866666667;0.122333866666667
104;Convolutional;1548672;1.1010048;1.1010048;1.1010048
105;Convolutional;442752;0.3145728;0.3145728;0.3145728
106;Convolutional;442752;0.3145728;0.3145728;0.3145728
107;mpool;;;;
108;Convolutional;73920;0.0524288;0.0524288;0.0524288
109;apool;;;;
110;FC;192192;0.136669866666667;0;0.136669866666667
