id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;9472;671.368260266667;1342.73652053333;2667.5167232
3;mpool;36928;1315.3337344;2630.6674688;5202.7195392
4;Convolutional;16640;292.296385422222;584.592770844444;292.296385422222
5;Convolutional;16448;292.296385422222;292.296385422222;292.296385422222
6;Convolutional;36928;657.6668672;657.6668672;657.6668672
7;Convolutional;16640;292.296385422222;292.296385422222;292.296385422222
8;Convolutional;16448;292.296385422222;292.296385422222;292.296385422222
9;Convolutional;36928;657.6668672;657.6668672;657.6668672
10;Convolutional;16640;292.296385422222;292.296385422222;292.296385422222
11;Convolutional;16448;292.296385422222;292.296385422222;292.296385422222
12;Convolutional;36928;657.6668672;657.6668672;657.6668672
13;Convolutional;16640;292.296385422222;292.296385422222;292.296385422222
14;Convolutional;131584;584.592770844444;2338.37108337778;2276.10897066667
15;Convolutional;65664;292.296385422222;292.296385422222;1138.05448533333
16;Convolutional;147584;657.6668672;657.6668672;657.6668672
17;Convolutional;66048;292.296385422222;292.296385422222;292.296385422222
18;Convolutional;65664;292.296385422222;292.296385422222;292.296385422222
19;Convolutional;147584;657.6668672;657.6668672;657.6668672
20;Convolutional;66048;292.296385422222;292.296385422222;292.296385422222
21;Convolutional;65664;292.296385422222;292.296385422222;292.296385422222
22;Convolutional;147584;657.6668672;657.6668672;657.6668672
23;Convolutional;66048;292.296385422222;292.296385422222;292.296385422222
24;Convolutional;65664;292.296385422222;292.296385422222;292.296385422222
25;Convolutional;147584;657.6668672;657.6668672;657.6668672
26;Convolutional;66048;292.296385422222;292.296385422222;292.296385422222
27;Convolutional;525312;584.592770844444;2338.37108337778;2214.592512
28;Convolutional;262400;292.296385422222;292.296385422222;1107.296256
29;Convolutional;590080;657.6668672;657.6668672;657.6668672
30;Convolutional;263168;292.296385422222;292.296385422222;292.296385422222
31;Convolutional;262400;292.296385422222;292.296385422222;292.296385422222
32;Convolutional;590080;657.6668672;657.6668672;657.6668672
33;Convolutional;263168;292.296385422222;292.296385422222;292.296385422222
34;Convolutional;262400;292.296385422222;292.296385422222;292.296385422222
35;Convolutional;590080;657.6668672;657.6668672;657.6668672
36;Convolutional;263168;292.296385422222;292.296385422222;292.296385422222
37;Convolutional;262400;292.296385422222;292.296385422222;292.296385422222
38;Convolutional;590080;657.6668672;657.6668672;657.6668672
39;Convolutional;263168;292.296385422222;292.296385422222;292.296385422222
40;Convolutional;262400;292.296385422222;292.296385422222;292.296385422222
41;Convolutional;590080;657.6668672;657.6668672;657.6668672
42;Convolutional;263168;292.296385422222;292.296385422222;292.296385422222
43;Convolutional;262400;292.296385422222;292.296385422222;292.296385422222
44;Convolutional;590080;657.6668672;657.6668672;657.6668672
45;Convolutional;263168;292.296385422222;292.296385422222;292.296385422222
46;Convolutional;2099200;584.592770844444;2338.37108337778;2093.7965568
47;Convolutional;1049088;292.296385422222;292.296385422222;1046.8982784
48;Convolutional;2359808;657.6668672;657.6668672;657.6668672
49;Convolutional;1050624;292.296385422222;292.296385422222;292.296385422222
50;Convolutional;1049088;292.296385422222;292.296385422222;292.296385422222
51;Convolutional;2359808;657.6668672;657.6668672;657.6668672
52;Convolutional;1050624;292.296385422222;292.296385422222;292.296385422222
53;Convolutional;1049088;292.296385422222;292.296385422222;292.296385422222
54;Convolutional;2359808;657.6668672;657.6668672;657.6668672
55;Convolutional;1050624;292.296385422222;292.296385422222;292.296385422222
56;FC;200905705;571.462269155556;0;571.462269155556
