id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;1792;246.6250752;246.6250752;246.6250752
3;Convolutional;36928;5261.334938;5261.334938;5261.334938
4;mpool;;;;
5;Convolutional;73856;2630.667469;2630.667469;2630.667469
6;Convolutional;147584;5261.334938;5261.334938;5261.334938
7;mpool;;;;
8;Convolutional;295168;2630.667469;2630.667469;2630.667469
9;Convolutional;590080;5261.334938;5261.334938;5261.334938
10;Convolutional;590080;5261.334938;5261.334938;5261.334938
11;mpool;;;;
12;Convolutional;1180160;2630.667469;2630.667469;2630.667469
13;Convolutional;2359808;5261.334938;5261.334938;5261.334938
14;Convolutional;2359808;5261.334938;5261.334938;5261.334938
15;mpool;;;;
16;Convolutional;2359808;1315.333734;1315.333734;1315.333734
17;Convolutional;2359808;1315.333734;1315.333734;1315.333734
18;Convolutional;2359808;1315.333734;1315.333734;1315.333734
19;mpool;;;;
20;FC;102764544;292.2963854;47.72185884;292.2963854
21;FC;16781312;47.72185884;11.66249529;47.72185884
22;FC;4101097;11.66249529;0;11.66249529
